GeneSymbol_input,STRING_id,GeneSymbol_STRING
Fdps,10116.ENSRNOP00000031191,Fdps
Themis2,10116.ENSRNOP00000017340,Themis2
Cxcl1,10116.ENSRNOP00000003778,Cxcl1
Hivep3,10116.ENSRNOP00000074689,Hivep3
Lrp8,10116.ENSRNOP00000017575,Lrp8
Pstpip1,10116.ENSRNOP00000061918,Pstpip1
Ercc1,10116.ENSRNOP00000024113,Ercc1
Inava,10116.ENSRNOP00000034553,Inava
Actn1,10116.ENSRNOP00000068851,Actn1
Tgfb3,10116.ENSRNOP00000013516,Tgfb3
Csnk1d,10116.ENSRNOP00000015178,Csnk1d
Usp14,10116.ENSRNOP00000020537,Usp14
Eif4a1,10116.ENSRNOP00000049419,Eif4a1
Golt1b,10116.ENSRNOP00000070214,Golt1b
Polr1e,10116.ENSRNOP00000029128,Polr1e
M6pr,10116.ENSRNOP00000069840,M6pr
Gda,10116.ENSRNOP00000024775,Gda
Pgam5,10116.ENSRNOP00000053513,Pgam5
H3f3b,10116.ENSRNOP00000040434,H3f3b
Clcf1,10116.ENSRNOP00000025343,Clcf1
Ildr2,10116.ENSRNOP00000036628,Ildr2
RT1-CE15,10116.ENSRNOP00000051211,RT1-CE15
Polr2g,10116.ENSRNOP00000026313,Polr2g
Dcbld2,10116.ENSRNOP00000069998,Dcbld2
Riok3,10116.ENSRNOP00000034041,Riok3
Fyn,10116.ENSRNOP00000000733,Fyn
Eif5,10116.ENSRNOP00000013695,Eif5
Fhl3,10116.ENSRNOP00000010007,Fhl3
Ube2j1,10116.ENSRNOP00000040441,Ube2j1
Zfp598,10116.ENSRNOP00000060223,Zfp598
Zyx,10116.ENSRNOP00000023537,Zyx
Riok2,10116.ENSRNOP00000017165,Riok2
Flnc,10116.ENSRNOP00000070379,Flnc
Carnmt1,10116.ENSRNOP00000017405,Carnmt1
Cacul1,10116.ENSRNOP00000072029,Cacul1
Nfkbie,10116.ENSRNOP00000026988,Nfkbie
Mdm2,10116.ENSRNOP00000069425,Mdm2
Tpbg,10116.ENSRNOP00000014326,Tpbg
Kpna4,10116.ENSRNOP00000014384,Kpna4
Rpl30,10116.ENSRNOP00000054398,Rpl30
Bean1,10116.ENSRNOP00000062938,Bean1
Lima1,10116.ENSRNOP00000072604,Lima1
Map1s,10116.ENSRNOP00000025385,Map1s
Txnl1,10116.ENSRNOP00000074049,Txnl1
Kdm1a,10116.ENSRNOP00000052846,Kdm1a
Cyp2s1,10116.ENSRNOP00000028177,Cyp2s1
Tnip2,10116.ENSRNOP00000018477,Tnip2
Rpl18,10116.ENSRNOP00000028555,Rpl18
Gnl2,10116.ENSRNOP00000012702,Gnl2
Ostf1,10116.ENSRNOP00000016871,Ostf1
Cxcl10,10116.ENSRNOP00000003649,Cxcl10
Tsc22d1,10116.ENSRNOP00000055007,Tsc22d1
Fblim1,10116.ENSRNOP00000074912,Fblim1
Trim15,10116.ENSRNOP00000001017,Trim15
Eml4,10116.ENSRNOP00000072435,Eml4
Ccl20,10116.ENSRNOP00000021730,Ccl20
Gdf15,10116.ENSRNOP00000026652,Gdf15
Itgb1,10116.ENSRNOP00000014785,Itgb1
Eif3a,10116.ENSRNOP00000063484,Eif3a
Ccdc25,10116.ENSRNOP00000021621,Ccdc25
Tma16,10116.ENSRNOP00000019363,Tma16
Rcn1,10116.ENSRNOP00000018074,Rcn1
Eef1a1,10116.ENSRNOP00000013608,Eef1a1
Prss22,10116.ENSRNOP00000057610,Prss22
Ybx3,10116.ENSRNOP00000007427,Ybx3
Tcp1,10116.ENSRNOP00000019531,Tcp1
Eed,10116.ENSRNOP00000024082,Eed
Lsr,10116.ENSRNOP00000041379,Lsr
Eif3h,10116.ENSRNOP00000058501,Eif3h
Trib3,10116.ENSRNOP00000009840,Trib3
Csmd1,10116.ENSRNOP00000054705,Csmd1
Cct6a,10116.ENSRNOP00000001227,Cct6a
Ksr1,10116.ENSRNOP00000049882,Ksr1
Whamm,10116.ENSRNOP00000060843,Whamm
Arf6,10116.ENSRNOP00000006355,Arf6
Tagln,10116.ENSRNOP00000069919,Tagln
Trafd1,10116.ENSRNOP00000072077,Trafd1
Myl12a,10116.ENSRNOP00000021048,Myl12a
RT1-M2,10116.ENSRNOP00000043659,RT1-M2
Bnip2,10116.ENSRNOP00000071923,Bnip2
Nifk,10116.ENSRNOP00000058336,Nifk
Ets1,10116.ENSRNOP00000011925,Ets1
Sec61b,10116.ENSRNOP00000008329,Sec61b
Hspa14,10116.ENSRNOP00000020854,Hspa14
Eif2s1,10116.ENSRNOP00000013375,Eif2s1
Tubb6,10116.ENSRNOP00000024947,Tubb6
Ralb,10116.ENSRNOP00000003413,Ralb
Ahnak,10116.ENSRNOP00000069026,Ahnak
Klf6,10116.ENSRNOP00000023033,Klf6
Bhlhe40,10116.ENSRNOP00000009564,Bhlhe40
Rrbp1,10116.ENSRNOP00000052465,Rrbp1
Mars1,10116.ENSRNOP00000034945,Mars1
Heatr1,10116.ENSRNOP00000064012,Heatr1
Cdr2l,10116.ENSRNOP00000038423,Cdr2l
Dot1l,10116.ENSRNOP00000043691,Dot1l
Urb2,10116.ENSRNOP00000029895,Urb2
Usp22,10116.ENSRNOP00000044118,Usp22
Sec11a,10116.ENSRNOP00000015218,Sec11a
Rpl7a,10116.ENSRNOP00000063128,Rpl7a
Crybg3,10116.ENSRNOP00000002292,Crybg3
Samhd1,10116.ENSRNOP00000008961,Samhd1
Vasp,10116.ENSRNOP00000074940,Vasp
Icam1,10116.ENSRNOP00000028066,Icam1
Npm1,10116.ENSRNOP00000006591,Npm1
Fcgr2a,10116.ENSRNOP00000004204,Fcgr2a
Met,10116.ENSRNOP00000070486,Met
Cgn,10116.ENSRNOP00000028440,Cgn
Ch25h,10116.ENSRNOP00000025856,Ch25h
Psmb4,10116.ENSRNOP00000028484,Psmb4
Eif3j,10116.ENSRNOP00000022437,Eif3j
Flnb,10116.ENSRNOP00000070399,Flnb
Ddx21,10116.ENSRNOP00000063494,Ddx21
Nop14,10116.ENSRNOP00000071645,Nop14
Baiap2l1,10116.ENSRNOP00000057568,Baiap2l1
Mgp,10116.ENSRNOP00000007577,Mgp
Ppan,10116.ENSRNOP00000027974,Ppan
Mad2l2,10116.ENSRNOP00000052521,Mad2l2
Rps13,10116.ENSRNOP00000036690,Rps13
Elmo2,10116.ENSRNOP00000039023,Elmo2
Rhoc,10116.ENSRNOP00000073774,Rhoc
Mpzl3,10116.ENSRNOP00000031974,Mpzl3
Eif2b3,10116.ENSRNOP00000024841,Eif2b3
Plxna2,10116.ENSRNOP00000009900,Plxna2
Shisa4,10116.ENSRNOP00000009712,Shisa4
Glipr2,10116.ENSRNOP00000019916,Glipr2
Ccdc86,10116.ENSRNOP00000028405,Ccdc86
Bysl,10116.ENSRNOP00000067656,Bysl
Rin1,10116.ENSRNOP00000027335,Rin1
Sdad1,10116.ENSRNOP00000035588,Sdad1
Mmd,10116.ENSRNOP00000075635,Mmd
Arrdc4,10116.ENSRNOP00000073183,Arrdc4
Rpl9,10116.ENSRNOP00000068363,Rpl9
Myo1e,10116.ENSRNOP00000074970,Myo1e
Acot7,10116.ENSRNOP00000014213,Acot7
Zdhhc18,10116.ENSRNOP00000073628,Zdhhc18
Tbrg1,10116.ENSRNOP00000037323,Tbrg1
Dusp4,10116.ENSRNOP00000016328,Dusp4
Kctd5,10116.ENSRNOP00000073503,Kctd5
Fam184a,10116.ENSRNOP00000000475,Fam184a
Rpl10,10116.ENSRNOP00000070105,Rpl10
Nup50,10116.ENSRNOP00000018155,Nup50
Yrdc,10116.ENSRNOP00000037600,Yrdc
Lrg1,10116.ENSRNOP00000065771,Lrg1
Nab2,10116.ENSRNOP00000054557,Nab2
Il24,10116.ENSRNOP00000006106,Il24
Cct4,10116.ENSRNOP00000012847,Cct4
Mex3c,10116.ENSRNOP00000047441,Mex3c
