"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"rno04611","Platelet activation",121,0.358397634164636,1.51900462522197,0.00723620788779141,0.0166147141634158,0.00564537452899776,4742,"tags=46%, list=26%, signal=35%","116670/25537/361969/29302/25150/24511/501203/361517/25513/309186/25439/81515/54223/287876/24366/116727/24668/155918/497931/313494/84006/83805/25679/171337/25643/24185/691992/24600/117273/304496/29414/292661/29393/24367/81822/29322/170921/689314/25155/81666/367901/29241/366508/84420/25505/116669/116590/25441/297173/307171/84032/84352/25202/50685/298947/81664",0.407017918923954
"rno03018","RNA degradation",76,0.392368952016023,1.51711195859721,0.0100091483259797,0.0218324547860432,0.00741826690139603,4945,"tags=47%, list=27%, signal=35%","54230/24334/307850/684148/313243/292295/316098/171350/298510/295050/361109/301513/360464/306103/297455/313707/366017/290647/29619/364624/296913/498934/361736/363077/363064/63868/298086/360992/291604/300944/500305/362229/362829/291671/360760/302405",0.380730400722792
"rno04156","Integrated stress response (ISR) signaling pathway",49,0.425901719722024,1.51629752393418,0.0150945925248771,0.0301029302353263,0.0102284224650043,2957,"tags=35%, list=16%, signal=29%","301252/296302/79255/246273/54318/171145/498416/299331/282840/24668/64514/171071/170916/362196/29467/25389/84005",0.380730400722792
"rno04071","Sphingolipid signaling pathway",125,0.356602543383199,1.51348780312276,0.00567982900539878,0.0134847641012529,0.00458187501981711,4286,"tags=46%, list=23%, signal=35%","25625/81736/25537/117104/24887/309165/314649/25150/25513/24835/246255/24525/24605/171293/293621/24842/29733/170851/286896/116554/50557/25643/25272/24185/363875/366957/366984/24600/117273/29414/311786/24903/84477/24681/360618/170897/288001/29322/25097/25087/500651/24565/689314/366697/81666/64625/363193/29415/366508/117256/116590/25441/60399/24673/297173/353233/313339",0.407017918923954
"rno04015","Rap1 signaling pathway",210,0.337994881101916,1.50900134723912,0.000604384827030565,0.00180282311652707,0.000612566162873901,3924,"tags=34%, list=21%, signal=27%","25267/54251/94268/366492/25021/29302/78965/24511/116546/361517/24553/25513/360891/24525/25439/24605/54223/287876/155918/24596/83502/54250/313494/293621/114110/84006/54245/81757/29622/170851/24329/83805/361442/24628/445442/171337/50664/25643/24185/363875/24629/308995/366957/303141/64303/25156/117273/29414/309684/64465/303200/292771/24681/29316/81822/304109/29322/361568/50663/102551431/25022/689314/24242/81666/310738/29241/500317/366508/362317/84420/116590",0.477270815362862
"rno00750","Vitamin B6 metabolism",8,-0.652788015138036,-1.50888883696017,0.062111801242236,0.098302713114903,0.0334014553179743,2282,"tags=38%, list=12%, signal=33%","293820/316421/83578",0.261663521711573
"rno04920","Adipocytokine signaling pathway",71,0.392493254491276,1.50457632108433,0.0199104393266182,0.0374581581982772,0.0127275937530934,2907,"tags=30%, list=16%, signal=25%","89829/25625/25125/81736/309165/24514/316241/24835/113976/84351/24604/116554/25272/24185/156767/83506/94340/29414/311786/361042/65248",0.352487857583619
"rno04926","Relaxin signaling pathway",121,0.354432749622465,1.50220016731291,0.00880326545044795,0.019694484885938,0.00669182402075992,4770,"tags=45%, list=26%, signal=34%","81736/79255/309165/25513/24525/24323/24605/81633/290905/54223/85384/293621/29357/170851/85385/24329/362165/83805/79218/116554/50664/287398/500131/59086/298400/25643/25272/24185/81667/81687/24600/294962/690825/24400/406169/29414/29393/60449/29322/689314/314612/114119/29241/366508/295144/84420/116590/114858/81810/81504/84032/84352/314638/81664/24516",0.380730400722792
"rno05204","Chemical carcinogenesis - DNA adducts",64,-0.401700965985041,-1.50209754174083,0.0221604284902237,0.0411382422504684,0.0139780186817723,3069,"tags=31%, list=17%, signal=26%","24296/25086/83790/29277/24421/289197/24422/83783/300850/494500/25116/114846/25260/81869/501110/29487/499422/297029/309465/116631",0.352487857583619
"rno04610","Complement and coagulation cascades",85,0.377511813223261,1.49505102036661,0.0108690904968909,0.0233270989442093,0.00792611951790423,3238,"tags=28%, list=18%, signal=23%","362248/24617/50692/24854/25021/361969/499271/64036/25439/117517/24237/24366/24153/25584/29636/25692/83580/309684/24903/24367/29687/288001/25087/362634",0.380730400722792
