"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-RNO-5578775","Ion homeostasis",45,-0.388176220332627,-1.36297715381593,0.0736434108527132,0.130370459626997,0.0585537964943443,3732,"tags=36%, list=20%, signal=28%","24598/25650/361618/83535/24244/29600/24211/81678/29599/58950/686019/25391/29639/63847/29715/25262",0.231126709673834
"R-RNO-5576886","Phase 4 - resting membrane potential",16,0.504684231102312,1.36084180909906,0.127348643006263,0.20556277020696,0.092325214223756,3788,"tags=38%, list=20%, signal=30%","64120/499303/445371/29553/276720/116491",0.179782316298324
"R-RNO-5694530","Cargo concentration in the ER",25,0.441451277262909,1.35964994371234,0.0968379446640316,0.164168108142738,0.0737334670948789,3326,"tags=40%, list=18%, signal=33%","246117/310710/84599/25423/295461/24827/361705/252929/29183/310843",0.20207170902116
"R-RNO-9013409","RHOJ GTPase cycle",10,0.565168697646543,1.35941088025201,0.130097087378641,0.209339897273323,0.0940216501357707,4956,"tags=70%, list=27%, signal=51%","299145/25513/362842/310074/310192/307459/311647",0.170932335370056
"R-RNO-189483","Heme degradation",15,-0.514808109045137,-1.35850558472457,0.118343195266272,0.193772803750685,0.0870299402902974,2758,"tags=53%, list=15%, signal=45%","24421/24422/494500/116599/501110/312382/140860/79239",0.181383128498408
"R-RNO-375276","Peptide ligand-binding receptors",144,0.3136582220723,1.35737102373623,0.0257399027707619,0.0543987635876926,0.0244323303129485,4220,"tags=25%, list=23%, signal=19%","116637/116677/25542/29235/25380/117041/81503/245920/29538/305236/24323/497942/24604/298006/29636/360918/58812/171044/25298/29385/25569/29234/316019/500157/497078/25087/100360071/25723/287562/54258/114105/295144/29191/29141/297795/24232",0.352487857583619
"R-RNO-9020702","Interleukin-1 signaling",38,0.396375578836019,1.35491954273093,0.0669216061185468,0.121038732394366,0.0543626011968551,3957,"tags=47%, list=21%, signal=37%","113894/64044/25466/100912032/84351/60582/301059/303604/314870/313121/25459/311786/192255/300177/25742/291921/117022/50522",0.241339976815091
"R-RNO-4085001","Sialic acid metabolism",20,-0.469353002615637,-1.35283001371846,0.0977130977130977,0.165273803887665,0.0742300725668421,2151,"tags=25%, list=12%, signal=22%","316033/83505/29758/25197/64445",0.206587922696891
"R-RNO-6807878","COPI-mediated anterograde transport",70,0.351514113928612,1.35223092269396,0.0614406779661017,0.11245838377724,0.0505088755275953,4272,"tags=34%, list=23%, signal=26%","498736/291081/307351/79120/246118/300218/296554/84599/691149/361207/500929/64158/316531/60384/81655/294010/58945/298584/304290/84428/64351/315131/140940/65165",0.266350657088526
"R-RNO-8876198","RAB GEFs exchange GTP for GDP on RABs",65,-0.356425792870915,-1.35021348916911,0.0527383367139959,0.0999201388758703,0.0448775243576175,3007,"tags=31%, list=16%, signal=26%","311494/288779/309306/315059/29885/94193/292760/29448/362599/171452/363235/314013/501550/84589/117103/360827/25183/290746/25531/315999",0.282013350011725
"R-RNO-2173791","TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)",12,0.530474224877421,1.35014970761927,0.122568093385214,0.198785278037728,0.0892812125507189,4488,"tags=83%, list=24%, signal=63%","310655/100912032/59086/117273/116479/192255/50522/81810/690516/81918",0.176694268938498
"R-RNO-199977","ER to Golgi Anterograde Transport",111,0.320174609671267,1.35001512648927,0.0682024732821949,0.122430008956655,0.0549874707027897,4272,"tags=35%, list=23%, signal=27%","498736/291081/64462/307351/79120/246118/300218/246117/310710/296554/84599/691149/25423/295461/361207/500929/24827/292074/64158/361705/252929/309010/362237/316531/60384/81655/294010/29183/58945/298584/304290/310843/54350/84428/64351/367073/315131/140940/65165",0.287805130535564
"R-RNO-380972","Energy dependent regulation of mTOR by LKB1-AMPK",28,-0.426594476550967,-1.34934354810346,0.0853174603174603,0.14747115822158,0.0662343004082156,3965,"tags=39%, list=21%, signal=31%","298514/310091/56718/297960/295357/501146/362045/78975/373545/360776/290291",0.216542836735348
"R-RNO-3700989","Transcriptional Regulation by TP53",194,0.301828391912661,1.34818809916978,0.0152409549049076,0.0351846368863295,0.0158026141340912,4336,"tags=40%, list=23%, signal=31%","56010/686781/83722/64525/25576/117017/25498/296883/58936/500715/25737/85482/363221/100912032/117254/373541/24842/293345/140583/25578/310034/291787/100361529/497856/362110/83712/316123/362485/24185/301513/114494/362272/289372/360588/288414/497672/29414/114592/683469/64557/81785/59102/294800/64314/29507/192255/304528/29619/24377/311546/25533/116468/54237/65248/364382/192218/116484/81807/293625/689314/84389/297893/288003/314818/25203/295707/317256/58983/294693/50522/192350/24673/679713/81650/361365/311575/25577",0.380730400722792
"R-RNO-3899300","SUMOylation of transcription cofactors",23,0.449252831317511,1.34724192582318,0.104417670682731,0.174882536682678,0.0785456804603593,2475,"tags=35%, list=13%, signal=30%","310375/25498/309331/313038/499417/291439/25573/313128",0.195789002148949
"R-RNO-5389840","Mitochondrial translation elongation",48,-0.379876549739324,-1.3463913072748,0.075,0.132543103448276,0.0595296045457223,4145,"tags=31%, list=22%, signal=24%","363646/691814/290850/296995/303746/287302/114017/287962/297459/360594/363023/364656/293754/691393/293666",0.227987202850442
"R-RNO-8964616","G beta:gamma signalling through CDC42",14,0.501026795735421,1.34300476332477,0.145283018867925,0.226926802269268,0.101920525840008,2787,"tags=50%, list=15%, signal=42%","29431/79218/81667/294962/24400/64465/60449",0.158514105424824
"R-RNO-9696270","RND2 GTPase cycle",27,0.430740595773737,1.34299536807109,0.11046511627907,0.183511740982247,0.0824213488741297,1124,"tags=22%, list=6%, signal=21%","312077/366492/140922/25513/306506/29648",0.186432558434075
"R-RNO-9013149","RAC1 GTPase cycle",111,0.318163488530072,1.34153524120229,0.0716443000739605,0.12705087815884,0.057062859833624,4956,"tags=42%, list=27%, signal=31%","78967/29431/366492/24511/304282/25513/288093/306357/85384/83709/308509/361598/290396/360678/363875/300186/289992/25437/296078/29432/64465/361617/84014/314903/292750/298404/304109/310621/313024/25097/310074/29579/84009/361921/79249/64351/308666/100362241/287537/303653/306183/360840/310192/361029/300067/307459/311647",0.287805130535564
"R-RNO-181430","Norepinephrine Neurotransmitter Release Cycle",14,-0.507363777120631,-1.34056255762536,0.139830508474576,0.220501955671447,0.0990349092572904,4304,"tags=50%, list=23%, signal=38%","25716/84556/140592/24904/29503/24803/25531",0.172324344900946
"R-RNO-445144","Signal transduction by L1",16,0.497037780958612,1.34022375050823,0.1419624217119,0.222494621184552,0.0999298829443472,2087,"tags=31%, list=11%, signal=28%","29431/29302/24511/170851/363875",0.169570644405628
"R-RNO-201556","Signaling by ALK",18,0.480720354443128,1.33964652323564,0.119460500963391,0.194669337817927,0.0874326041565881,4143,"tags=33%, list=22%, signal=26%","25125/25513/85385/25613/297893/25326",0.178219874951973
"R-RNO-1266695","Interleukin-7 signaling",11,0.546729202702883,1.33702326628558,0.141453831041257,0.222037024222494,0.0997243606238043,2729,"tags=36%, list=15%, signal=31%","25125/25513/291159/310678",0.16440575583821
"R-RNO-442660","Na+/Cl- dependent neurotransmitter transporters",17,-0.479983471304626,-1.33661065160173,0.112016293279022,0.185188226791932,0.0831743155293583,3234,"tags=41%, list=17%, signal=34%","24904/29464/113918/171163/29503/50676/29323",0.190023305279108
"R-RNO-5654732","Negative regulation of FGFR3 signaling",26,0.434464754220292,1.33639709309126,0.101727447216891,0.171216146793617,0.0768989803716488,5368,"tags=46%, list=29%, signal=33%","306141/100912032/54250/83805/192255/25622/116590/50522/24673/81504/60662/170583",0.193813302725311
"R-RNO-174414","Processive synthesis on the C-strand of the telomere",13,0.511945792037485,1.33515011461642,0.140495867768595,0.220871571261978,0.0992009161589384,3129,"tags=54%, list=17%, signal=45%","296883/25737/290232/289758/59294/59102/84490",0.169570644405628
"R-RNO-174437","Removal of the Flap Intermediate from the C-strand",13,0.511945792037485,1.33515011461642,0.140495867768595,0.220871571261978,0.0992009161589384,3129,"tags=54%, list=17%, signal=45%","296883/25737/290232/289758/59294/59102/84490",0.169570644405628
"R-RNO-8957322","Metabolism of steroids",95,-0.329516573622348,-1.33499220874177,0.0492125984251969,0.095355223791733,0.0428272661195528,3991,"tags=36%, list=22%, signal=28%","117278/296972/24873/298298/79243/362360/83569/25322/291211/307092/25541/24800/303879/502348/619549/291283/300790/24950/79244/29216/25116/60351/65192/80848/170698/81681/289456/83724/64191/259221/25117/293688/29580/301517",0.287857117255149
"R-RNO-211945","Phase I - Functionalization of compounds",67,-0.351617341454975,-1.33328015215529,0.0585858585858586,0.108787146830625,0.0488599984608915,3945,"tags=42%, list=21%, signal=33%","29539/171451/25035/25242/298079/57300/24296/25086/298423/25243/80773/24172/24306/25256/310201/246245/266761/171522/313375/282827/266674/291084/60351/84493/83724/310903/296259/301517",0.266350657088526
"R-RNO-5654699","SHC-mediated cascade:FGFR2",22,0.452203487723967,1.3325082034704,0.115830115830116,0.190265815265815,0.0854548327802172,1457,"tags=23%, list=8%, signal=21%","24525/24605/54250/293621/85385",0.181383128498408
"R-RNO-6807505","RNA polymerase II transcribes snRNA genes",44,0.375649995989343,1.33015911276934,0.0864197530864197,0.149008970676878,0.0669249841552212,1899,"tags=20%, list=10%, signal=18%","363227/117017/360589/361057/500715/373541/362537/362110/316123",0.219250346703755
"R-RNO-198753","ERK/MAPK targets",15,0.488525389726563,1.32996173780192,0.135353535353535,0.215430704561139,0.0967572383314207,4068,"tags=53%, list=22%, signal=42%","60587/300980/116663/689314/363193/81771/116590/24673",0.170932335370056
"R-RNO-375281","Hormone ligand-binding receptors",11,-0.543995589300052,-1.32986281466177,0.13184584178499,0.211489808810039,0.0949872483469134,1713,"tags=18%, list=9%, signal=17%","25477/25360",0.173747838999571
"R-RNO-2132295","MHC class II antigen presentation",80,0.339564729072689,1.32888027082894,0.0547112191830205,0.10252102314917,0.0460456697249028,3838,"tags=32%, list=21%, signal=26%","498736/291081/307351/246118/300218/25697/296554/691149/25423/295461/500929/64158/316531/84392/293502/116563/81655/294010/58945/298584/310843/84393/353302/171041/290644/84428",0.321775918075361
"R-RNO-6807004","Negative regulation of MET activity",17,0.48046073648668,1.32688077441813,0.11545988258317,0.189962086111957,0.085318417712607,5267,"tags=71%, list=28%, signal=51%","24697/24553/100912032/117063/56084/81922/192255/50522/84357/81504/81921/312574",0.183023938384487
"R-RNO-5654688","SHC-mediated cascade:FGFR1",20,0.462842735646991,1.32685749010227,0.119001919385797,0.194230839761849,0.0872356598026894,1457,"tags=25%, list=8%, signal=23%","24525/24605/54250/293621/85385",0.178219874951973
"R-RNO-432722","Golgi Associated Vesicle Biogenesis",41,-0.384952543157563,-1.32543043752583,0.0968992248062016,0.164168108142738,0.0737334670948789,3467,"tags=34%, list=19%, signal=28%","310746/54241/295217/288785/363476/25306/64678/85491/116743/83730/317630/24803/192243/680476",0.199915231309662
