Gene,Degree,Betweenness,Closeness,Eigenvector
Plk1,185,0.008482598403548671,0.4221556501922648,0.005337212902173316
Gnl2,184,0.0006364210087831043,0.3788650054156374,0.06977982841130104
Rps19,184,0.0008382673000815403,0.4034231053896498,0.0721678729019607
Krr1,183,0.0011640118283361709,0.38914613718940066,0.06847730538870998
Cdk2,183,0.005419096312555239,0.4325257672212414,0.008018997982604543
Eif6,183,0.0007546868410783172,0.38985506372856293,0.0670607471054728
Fbll1,182,0.0010116094515080518,0.39433107509100285,0.06879460638765875
Rpl6,182,0.0004838518364895057,0.3981118681692938,0.07027666830915845
Polr3b,181,0.004674683557158759,0.3919974263445153,0.05890819047610586
Isg15,181,0.008383065255691664,0.41690480065443203,0.038421899532962156
Pwp2,180,0.0004649433630328534,0.38881980919175757,0.06891690499259823
Icam1,180,0.002914912506004535,0.41208794767694046,0.0038945313398152763
Rpl26,180,0.0006618237415660604,0.4061915220860016,0.06955266712094384
Hsp90aa1,180,0.006322314222548116,0.4441969878280417,0.010838527413778257
LOC297756,179,0.0002513473511833174,0.38941849590803823,0.07310281352840794
Ptprc,179,0.004935024493090459,0.4044788797276861,0.0031682720859285223
Utp4,178,0.0008404116455146718,0.38214364488558034,0.06771992131976481
Itgb1,178,0.00517647892295719,0.4077991402472919,0.0034495733324957714
Myc,178,0.006854498280171388,0.4441969878280417,0.0072550685528016585
Dimt1,177,0.0014908293694812797,0.38547952539379593,0.06656431423816106
Rack1,177,0.0027608992461938425,0.4170297908510006,0.059272469397798754
Rsl1d1,177,0.0008533038775963061,0.38146246191786987,0.07271214346528418
Tbl3,177,0.0011704877373159416,0.390950777791881,0.06816543878069203
Ebna1bp2,175,0.001458464611826405,0.3892550349471142,0.06680527846880044
Rpl10a,175,0.000655127047034307,0.4027806189035797,0.06603020205508878
Wdr3,174,0.00039981927677210024,0.38930950668444236,0.06722628993728764
Cdc6,174,0.0023577678825964054,0.40295563945061197,0.005701056289299593
Rpl32,174,0.0006906903882080206,0.4054219957398754,0.06771762937505907
Nop14,174,0.0006200431398322106,0.3813056105766207,0.06584813599783372
Nol6,173,0.0012768598809095963,0.3950029440248509,0.06568376923470355
Rpl27,172,0.0006056079784421337,0.4044200806464639,0.06664329124510902
Mphosph10,172,0.0011573056401513206,0.3913907899222039,0.06431869563891666
Abce1,172,0.003175173532237201,0.39578969053450347,0.06315731020697976
Rps29,171,0.0006841064038502067,0.40173368011076177,0.06251151552188093
Rpl17,171,0.00035093397156562,0.39117066011909807,0.06778013081183504
Utp14a,170,0.0006989284045768606,0.3770677330939313,0.065807240098122
Wdr43,170,0.00033012774392425064,0.37569287437772114,0.06579798600778866
Rpl14,170,0.00038531123451231804,0.3950029440248509,0.06745235189369536
Ltv1,169,0.00063530742503273,0.38452048856489635,0.0673711614811717
Noc4l,168,0.0017296647612718573,0.399483879202617,0.0628759144581686
Tsr1,168,0.00046882162853177764,0.3855863804250901,0.06682931103105906
Nob1,168,0.0007119320916642533,0.37701663298103066,0.0658131136553029
Rpl22,168,0.0015720589354191103,0.40231463987954086,0.06500316091661225
Nop53,167,0.0006099460400793751,0.38936399366928276,0.06843840999686096
Rrs1,167,0.0006092956829497612,0.3786587361871546,0.06452597434292968
Utp18,166,0.0005467765446101689,0.3879522709199589,0.06426923533119515
Rpl13,166,0.0004987320436241276,0.4046553796024764,0.06600126690051505
Rpl35,166,0.0005896070674478166,0.3881146393369176,0.06726257271095708
Dkc1,165,0.0016504792507849543,0.4035401413935342,0.05766832797512609
