"ProbeID","GeneSymbol","logFC","P.Value","adj.P.Val"
"10772705","Ugdh",672.4938,7.52970935567245e-05,0.00674763586247285
"10776608",NA,102.86858,7.66726062358806e-05,0.00681963801834415
"10884931","Mgat2",178.544,7.68008799902522e-05,0.00681963801834415
"10807625","Nip7",140.97905,7.7854413501779e-05,0.00685071938566557
"10900782","Fstl3",89.01466,7.81560130883234e-05,0.00685660590499183
"10885045","Psma3",324.8509,7.90274749198966e-05,0.0068726671462588
"10908814",NA,27.632595,7.92800995512157e-05,0.0068726671462588
"10846872","Rtn4rl2",49.856695,7.97541752135792e-05,0.00689330909671451
"10831077","Ier3",508.6533,8.02521679815005e-05,0.00691589036994559
"10841412",NA,63.84207,8.11274961369467e-05,0.00695031868664153
"10936475",NA,171.35875,8.20713222320283e-05,0.00696653604289284
"10709860","Swap70",67.9797,8.2658510297814e-05,0.00696653604289284
"10797597","Iars1",269.96735,8.32245183463272e-05,0.00696653604289284
"10714338","Zfand5",286.84735,8.37668291168218e-05,0.00699189755948238
"10804889","Nars1",484.737,8.43530926532858e-05,0.00702077278852732
"10742388","Sqstm1",918.137,8.5457950213564e-05,0.00707243217433162
"10887665","Rpf2",121.71367,8.60200465784925e-05,0.00709884079306237
"10841416","Procr",106.032357,8.70008673557283e-05,0.00712414371199012
"10912598","Ryk",245.40705,8.72425316600746e-05,0.00712414371199012
"10719437","Polr1g",76.892785,8.91960842876136e-05,0.00715125040682392
"10731136",NA,58.067745,8.9314129800239e-05,0.00715125040682392
"10880493","Zfp593",102.24342,8.9412843409255e-05,0.00715125040682392
"10833929","RT1-CE14",96.1954000000001,8.97739825065433e-05,0.00715125040682392
"10863866","Cnbp",262.9281,9.01828958309269e-05,0.00715125040682392
"10931537","Ebi3",32.051293,9.08250416615043e-05,0.00715125040682392
"10750460","Ets2",247.2701,9.09170846964226e-05,0.00715125040682392
"10820010",NA,211.95295,9.10613114033854e-05,0.00715125040682392
"10761047","Serpine1",842.4774,9.20804979992683e-05,0.00718040586044102
"10901403","Nopchap1",64.84305,9.21309056961706e-05,0.00718040586044102
"10865685","Ltbr",141.1007,9.34447974912145e-05,0.00724110428092398
"10900579","Fam174c",34.85745,9.38755670661957e-05,0.00725524025468741
"10810885","Psmd7",234.5504,9.55880209123857e-05,0.00734386985249187
"10934532",NA,70.42635,9.63652907101627e-05,0.0073696743528971
"10725404",NA,135.08705,9.74232519004161e-05,0.00737523714028416
"10812150",NA,429.9542,9.81871087237976e-05,0.00737523714028416
"10836556",NA,124.4362,9.82789269293496e-05,0.00737523714028416
"10756418","Flt1",234.1542,9.83217787985666e-05,0.00737523714028416
"10824439","Efna1",89.7953,9.90679119282689e-05,0.00737523714028416
"10932570","Usp27x",35.743335,9.98246064491169e-05,0.0073811542519577
"10894618","Nfyb",51.9103,0.000101552365574803,0.0073811542519577
"10862361","Pdia4",276.5142,0.000101789781489801,0.0073811542519577
"10704956","Plaur",491.79095,0.000103343977601779,0.00745454558434165
"10745677","Ccl3",42.13735,0.000104911253485844,0.00752859801059506
"10850530","Cd93",258.69525,0.000104970532362444,0.00752859801059506
"10765100",NA,223.57105,0.000105518661890866,0.00752859801059506
"10903590",NA,49.43501,0.00010586542421438,0.00752859801059506
"10878709","Gapdh",906.940500000001,0.00011089003752188,0.00775872148475608
"10918288","Plekho2",105.96618,0.000111101830470854,0.00775872148475608
"10718001","Agpat4",91.83568,0.00011169800129532,0.00775872148475608
"10714645","Rcl1",130.5206,0.0001117083966121,0.00775872148475608
"10717409","Hnrnpa3",622.074,0.000112075733092595,0.00775872148475608
"10917703","Peak1",331.00255,0.00011340310431307,0.00781358087123121
"10736238",NA,98.57389,0.000114530951571791,0.00783364727733806
"10785895",NA,259.70562,0.000114658050713639,0.00783364727733806
"10766463","Dusp10",141.31067,0.000114860777049975,0.00783364727733806
"10835624","Ptrh1",114.71698,0.000116284311209177,0.00787759501618202
"10778386","Eif6",272.7146,0.000116489390257775,0.00787759501618202
"10787817",NA,706.2096,0.000117118871127426,0.00788536263024102
"10912218","Plscr1",145.2371,0.000117144087818327,0.00788536263024102
"10912861","Rrp9",125.41972,0.000118143251035948,0.00790651833079825
"10913835","Lrrfip2",385.96855,0.000118270298848457,0.00790651833079825
"10741598","Wdr90",33.81153,0.000118779171825269,0.00791022909129638
"10764852","Abl2",83.3122,0.00012040957243995,0.00799464829377431
"10752758","Btg3",84.91086,0.000122241519060704,0.00804043123555473
"10930411","Tgif1",444.3718,0.000122382198081873,0.00804043123555473
"10903459","Klf10",128.22177,0.000122750473439358,0.00804043123555473
"10805509",NA,59.42182,0.000123248778098376,0.00805501074578514
"10785776",NA,44.64302,0.000127142996049795,0.00825176675662292
"10800140","Snrpd1",331.06055,0.000127671615458122,0.00825176675662292
"10917358",NA,147.0855,0.000128423033881538,0.00828200995985709
"10870733","Magoh",103.12532,0.000129543080934821,0.00830013004768376
"10766756",NA,244.21385,0.000129858401080586,0.00830013004768376
"10869264","Hnrnpa3",749.2959,0.000130853984787096,0.0083284712670375
"10905605",NA,116.94376,0.000132083001534629,0.00836938127388097
"10887901","Cebpz",90.5922,0.000132642689457345,0.00836938127388097
"10907834","Casp12",63.300505,0.000133077293359729,0.00836955754051888
"10927992","Stk17b",150.74225,0.000133218465678828,0.00836955754051888
"10804541","Marchf3",111.09346,0.000134175899393046,0.00837567248903515
"10875532","Pdp1",153.96261,0.000134879608359409,0.0083941682944448
"10765534","Adamts4",92.05427,0.000135396803644274,0.00839438335057249
"10935378",NA,260.6311,0.000135625006554057,0.00839438335057249
"10795957","Gtpbp4",197.09685,0.000140008656588861,0.00852127686163953
"10860457","Sema3e",52.61991,0.000140617607428735,0.00853340563690524
"10907825","Casp4",76.86394,0.000141668437526496,0.00853340563690524
"10700926",NA,26.1885,0.000144223829522957,0.00861626780303407
"10797013",NA,310.196,0.000147192558621138,0.00873742848887818
"10932228",NA,310.196,0.000147192558621138,0.00873742848887818
"10780763",NA,111.33811,0.000147835232608051,0.00873742848887818
"10821072","Mast4",113.5438,0.000148046385363001,0.00873742848887818
"10798108","Ripk1",165.79455,0.000148770264370374,0.0087624485953954
"10766758",NA,129.1281,0.000149493903243812,0.00876800186962868
"10823933","Hnrnpa3",787.8526,0.000150714181767623,0.00876800186962868
"10934113",NA,76.23119,0.000151265589864204,0.00876800186962868
"10721050","Cebpg",154.18375,0.00015299016649189,0.00883536634930376
"10865819","Tead4",85.31682,0.000153265824276238,0.00883536634930376
"10828575","Hmga1",391.91072,0.00015467525944149,0.00883536634930376
"10803843","Etf1",367.0585,0.000156935963782279,0.00883536634930376
"10758206",NA,38.17401,0.000157313537908077,0.00883536634930376
"10804463","Lox",186.39911,0.00015772728090402,0.00883536634930376
"10703905","Rasl2-9",198.654,0.000157937815024481,0.00883536634930376
"10757715","Cldn4",1475.9429,0.000158139083809037,0.00883536634930376
"10791700",NA,233.8717,0.000158454235896886,0.00883536634930376
"10763091","Golga3",32.5461,0.000158502471547761,0.00883536634930376
"10934676","LOC681325",36.70261,0.000158828082004515,0.00883536634930376
"10718474",NA,121.4909,0.000159046473679568,0.00883536634930376
"10722303",NA,240.26785,0.000160117603865016,0.00887604493228191
"10931325","Sowahc",226.2888,0.000160637327755028,0.00887857857075816
"10721682",NA,43.655655,0.000160832023952625,0.00887857857075816
"10812954","Plk2",298.62415,0.000161096825481247,0.00887857857075816
"10756393","Slc7a1",189.17172,0.00016137896970879,0.00887857857075816
"10938647",NA,39.97186,0.000164402667769161,0.00897730754431451
"10921550","Srf",219.0787,0.000164968519533991,0.00898511339115379
"10919699","Uba5",196.51975,0.000165655698943575,0.00899528919876875
"10767184",NA,241.7723,0.000165972687849557,0.00899578126685894
"10736332",NA,100.3577,0.000168907303063934,0.00906618638645081
"10910768",NA,54.753985,0.000169857630808622,0.00906618638645081
"10939444","Morf4l2",373.52235,0.000170004511136786,0.00906618638645081
"10827989","Mt2",1944.9565,0.000171285647659734,0.00909827406405405
"10910058",NA,188.0031,0.000171815004540025,0.00909827406405405
"10934548","Pbdc1",106.12252,0.000172024917610276,0.00909827406405405
"10782065","Ipo5",567.67595,0.000173161035484071,0.00911311598738843
"10902506","Cct2",395.9981,0.000174376389297944,0.00911311598738843
"10779770","Tlr11",42.912585,0.000176408395304354,0.00918864101900591
"10770375","Wdr26",240.26735,0.000176945212926115,0.00919800258082475
"10859296","Emp1",596.1337,0.000177403003808257,0.00920352657648464
"10738947","Tlk2",74.1779500000002,0.000177874698688217,0.00920352657648464
"10755309","Polr2h",125.6496,0.000178311632857202,0.00920352657648464
"10938841","Rlim",141.00955,0.000180668490345119,0.00929234027630689
"10873706","Epha2",272.0424,0.000182237421765667,0.00934014743765297
"10735091","Cldn7",697.48245,0.000184703142637808,0.00940055332582041
"10839417",NA,33.742245,0.000185479293959572,0.00941914199782481
"10908002","Maml2",68.36965,0.000185713212526429,0.00941914199782481
"10752801",NA,139.3298,0.000186725029728785,0.00942525146717101
"10730452","Oga",304.3904,0.000187642068892269,0.00942525146717101
"10794824","Tubb2b",122.93774,0.000187985464914692,0.00942525146717101
"10822583","Fndc3b",134.75595,0.000188541076282724,0.00942525146717101
"10892339","Cdca4",65.83144,0.000188737321431336,0.00942525146717101
"10728676","Dagla",40.27109,0.000189741281771324,0.00944310358716773
"10727277","Tpcn2",50.40061,0.000190597453549694,0.0094466638487671
"10937867",NA,1075.2812,0.000194523046241077,0.00959931802852503
"10842667","Rpl24",317.3853,0.000196551211086082,0.00965383132752233
"10837038","Hnrnpa3",874.488,0.000197995683989579,0.009665109177968
"10937688",NA,30.9796,0.000199193404100328,0.009665109177968
"10843448",NA,362.3584,0.000199225086720622,0.009665109177968
"10702660","Akap12",415.19135,0.00020000194526455,0.009665109177968
"10867361",NA,38.191045,0.00020136007308992,0.009665109177968
"10708921","Map6",183.08277,0.000202497643620232,0.009665109177968
"10791820",NA,96.8926499999999,0.000202978910788489,0.009665109177968
"10702428",NA,198.3536,0.000203100363733963,0.009665109177968
"10936537","Gtpbp4",180.45685,0.000205266121522457,0.00973481245804717
"10830895","RT1-M5",93.94615,0.000208275063052168,0.00981378660000973
"10886412","Llph",79.6354000000001,0.000210840631974856,0.00987583957932533
"10776798",NA,192.9572,0.000211062151465093,0.00987583957932533
"10793878","Ubqln1",172.8873,0.00021128225292936,0.00987583957932533
"10708538",NA,34.700365,0.000213382759462333,0.00994220723274738
"10743961","Tmem88",111.47031,0.000215633374545908,0.0100244026053351
"10791531","Gapdh",823.081000000001,0.000215833136125001,0.0100244026053351
"10859277","Gprc5a",136.618392,0.000216338420435289,0.0100297658091916
"10788425",NA,103.19353,0.000216842434404329,0.0100297658091916
"10777677","Sh3bp2",162.61061,0.00021722429747428,0.0100297658091916
"10839857","Nop56",575.58735,0.000219667305838838,0.0100640076723079
"10757153",NA,606.78235,0.00021978629749204,0.0100640076723079
"10840888","Mcts2",60.9430500000001,0.000222418917422604,0.0101631837432981
"10787048",NA,172.71625,0.000226429475425971,0.0102875749534904
"10783533",NA,115.37795,0.000227770522971013,0.0103324348727875
"10753222","Runx1",203.14172,0.000228149056154212,0.0103335605061847
"10729282",NA,40.00674,0.00022959692784589,0.0103679950507309
"10884046",NA,241.9678,0.000229619114048843,0.0103679950507309
"10781166","Clu",2669.3964,0.00023355709137728,0.010441420287344
"10757545","Sh2b2",40.478965,0.000234594069692694,0.0104479855768879
"10742575","Hspa4",387.3991,0.000235217462893596,0.0104591217062002
"10817186","S100a10",2152.6244,0.000237669897919066,0.0105521100270632
"10826039","Sars1",325.31265,0.000238847826653268,0.0105722733452251
"10935660",NA,24.000669,0.000239231210478422,0.0105732232721885
"10733553","Irf1",257.54695,0.000240096656797045,0.0105794626420345
"10888662","Wdr43",229.80885,0.00024177878026048,0.0106023963718181
"10751295","Pla1a",190.25354,0.000242181029257173,0.0106023963718181
"10763184","Cldn3",125.76985,0.000242765735895815,0.0106023963718181
"10766078",NA,89.38822,0.000245836504407565,0.0106857334913038
"10874929","Rdh10",243.68555,0.000247347901682271,0.010707686728221
"10825113","Plekho1",108.4284,0.000249866945144896,0.0107505345146731
"10757615","Tmem120a",416.5466,0.000251640305621069,0.0107860806051861
"10771765",NA,28.43259,0.000252169954588284,0.0107860806051861
"10834875","Ddx31",61.30448,0.000256240200702797,0.0109304181365479
"10776968",NA,270.28005,0.000256292750856963,0.0109304181365479
"10938801",NA,36.046815,0.000259289010379523,0.0109625605079205
"10818946","Zgrf1",26.820725,0.000259297915758646,0.0109625605079205
"10847924","Tcp11l1",113.2908,0.00025973668312755,0.0109652419955033
"10756285",NA,34.40827,0.000262200921490869,0.011021493122927
"10788439",NA,167.5348,0.000264489164350842,0.0110540578645858
"10904358","Ago2",286.38465,0.00026659871912307,0.0111104350648522
"10823284","Wwtr1",240.63825,0.000269765800154734,0.0111945143263074
"10905625","Rangap1",324.20855,0.000270594366346041,0.0111987738917054
"10800760","Bin1",211.27275,0.000270783965138607,0.0111987738917054
"10878030",NA,72.93809,0.00027101845489956,0.0111987738917054
"10719593","Ceacam16",78.224355,0.000275476029940492,0.0112489116524242
"10775794","Stbd1",33.0425,0.000275684919441269,0.0112489116524242
"10858566","Clec4a2",24.347412,0.000277193990201752,0.0112784752503537
"10922783","Map4k4",237.0988,0.000280100693154963,0.0113498806130257
"10738460","Bax",84.5433,0.000280453579509043,0.0113498806130257
"10812361",NA,49.709285,0.000280798927415337,0.0113498806130257
"10826771","Gar1",139.27788,0.000283189557137288,0.0113498806130257
"10867073",NA,53.64337,0.000283588926241994,0.0113498806130257
"10860951","Asns",442.40275,0.000284060255219078,0.0113498806130257
"10745271","Psma3",263.68935,0.000284079412135325,0.0113498806130257
"10770588","Rrp15",118.76695,0.000284781781265425,0.0113498806130257
"10853785","Mdfic",142.41015,0.000285267801146144,0.0113498806130257
"10927230","Bag2",286.80145,0.000285685718518903,0.0113498806130257
"10781699","Sugt1",39.5065500000001,0.000285942087053705,0.0113498806130257
"10843852",NA,31.395905,0.000289376919126989,0.0114395904132285
"10812881",NA,121.51875,0.000290542719347499,0.0114701554094836
"10815284","Naa15",312.28605,0.00029208177464453,0.0114803081177132
"10850866",NA,77.6367999999999,0.000292790669858324,0.0114813243345518
"10776992","Stim2",107.01255,0.000294666751975473,0.0115241678242061
