"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID","GeneSymbol"
357.6617,559.763555555556,4.18204460066553,0.00320174806728497,0.0356774641493508,-3.86911559918496,"10772950","Rpsa"
19.231057,18.9362044444444,4.1819619750924,0.00320210553158068,0.0356774641493508,-3.86912747102655,"10892872","Dio3"
136.46485,267.399444444444,4.18106821138687,0.00320597499398413,0.0357069590065774,-3.86925591351389,"10775782","Shroom3"
371.6276,846.962222222222,4.1770683690047,0.00322335395541961,0.0358314243299449,-3.86983127632861,"10803664","Rpl7a"
41.586265,71.8593444444444,4.1765219917002,0.00322573581117803,0.0358314243299449,-3.8699099401558,"10824530","Il6r"
226.2735,751.976,4.17550081992419,0.00323019256956123,0.0358672921806012,-3.87005700655833,"10737411","Trim25"
1047.3894,1251.93,4.17392030798876,0.00323710361629881,0.0359303742578091,-3.87028474268504,"10903346","Pabpc1"
328.95155,771.918888888889,4.17183165254113,0.003246261130249,0.0359909953165443,-3.87058591183251,"10872096","Rpl7a"
428.12548,314.566511111111,4.17131672976556,0.00324852306076005,0.0359969907290982,-3.87066019756154,"10818440","Slc25a24"
78.83895,161.687333333333,4.17114762665349,0.00324926626112932,0.0359969907290982,-3.870684596593,"10751586","Umps"
158.5492,348.890111111111,4.16897883817771,0.00325881429620445,0.0360617427459534,-3.87099766222788,"10750211","Ifngr2"
86.173375,59.1224777777778,4.1673911448823,0.00326582329861147,0.0361119461944116,-3.8712270137647,"10750685","Col8a1"
855.655,2178.78111111111,4.164257509001,0.00327970484939477,0.0361969389762821,-3.87168010097329,"10911795","Rpl12"
176.58425,504.987888888889,4.16186026951547,0.00329036731875968,0.0362577726393898,-3.87202708632155,"10804187","Lars1"
408.32715,789.859333333333,4.1589833189851,0.00330321293142601,0.0363191804963039,-3.87244393352161,"10762021","Arpc3"
487.5619,865.642777777778,4.15740650787766,0.00331027639026986,0.0363653674210661,-3.87267259853031,"10743357","Rras2"
479.9868,1181.26566666667,4.15704769922808,0.00331188598243845,0.0363653674210661,-3.87272465157681,"10887899","Hnrnpf"
153.2896,186.058111111111,4.15261449090532,0.00333184298941501,0.0363921266425489,-3.87336838415104,"10744127","Cd68"
563.95755,727.162,4.15224419782619,0.0033335158107572,0.0363921266425489,-3.87342220343068,"10710771","Rps15a"
563.95755,727.162,4.15224419782619,0.0033335158107572,0.0363921266425489,-3.87342220343068,"10752146","Rps15a"
563.95755,727.162,4.15224419782619,0.0033335158107572,0.0363921266425489,-3.87342220343068,"10760208","Rps15a"
112.87367,143.824155555556,4.15059548027261,0.00334097501454431,0.0364088599234594,-3.87366192591549,"10745731","Aatf"
32.94107,47.9983555555556,4.14970333256899,0.00334501882777316,0.0364088599234594,-3.87379170761944,"10882383","Htr6"
