"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID"
183.5802,235.73,10.0995846651894,9.02506757978278e-06,0.00252248095214212,-3.52088136920892,"10869253"
260.75405,364.825888888889,10.0677924300304,9.23648600096222e-06,0.00252248095214212,-3.52151909288491,"10824322"
432.37395,595.504,10.0656509417861,9.25092484385984e-06,0.00252248095214212,-3.52156224242115,"10748336"
227.4794,461.295555555556,10.063579717871,9.26491395914589e-06,0.00252248095214212,-3.52160399947255,"10826918"
-159.9621,255.992333333333,-10.0624230712451,9.27273628551228e-06,0.00252248095214212,-3.52162732809912,"10912959"
-87.1876,251.910555555556,-10.0546858443261,9.32525305782669e-06,0.00252248095214212,-3.5217835657553,"10908617"
-113.98255,187.998888888889,-10.0307605702692,9.48976382636919e-06,0.00253444112842723,-3.5222687219927,"10795093"
-115.3151,181.401444444444,-10.0231208257836,9.54297679629614e-06,0.00253444112842723,-3.52242429088274,"10705494"
185.1768,466.098,9.99993350599815,9.70653787019807e-06,0.00255465583189159,-3.52289839628664,"10760816"
91.83417,152.544766666667,9.98227018983233,9.83323807082453e-06,0.00256489479465239,-3.52326152264684,"10911925"
277.661,317.607888888889,9.95370225381413,1.00420924030335e-05,0.00259619192444442,-3.52385246118571,"10872291"
-486.7385,930.899777777778,-9.91975988316847,1.02967145243268e-05,0.00261625429444676,-3.52456046158476,"10791474"
96.7549,108.358777777778,9.91948531588629,1.02988034456554e-05,0.00261625429444676,-3.5245662150225,"10770577"
546.445,1365.64444444444,9.87506524171285,1.06430795026617e-05,0.00268040452233413,-3.52550261960147,"10733980"
513.2047,1162.78377777778,9.82577602309108,1.10402404537928e-05,0.00273734789386073,-3.52655484241106,"10918672"
696.7864,1262.01144444444,9.82224466838993,1.1069325360397e-05,0.00273734789386073,-3.52663076752235,"10927195"
208.3354,213.261111111111,9.81246941218954,1.11502840887734e-05,0.00273734789386073,-3.5268413161537,"10704505"
-175.2606,445.312,-9.79315936459047,1.131216327645e-05,0.00275394614965175,-3.52725887191423,"10836973"
81.19695,90.9998333333333,9.76690995598136,1.15364467431338e-05,0.00276759773822609,-3.52782999270394,"10938091"
-1039.827,4291.08666666667,-9.75703582467755,1.16220979938398e-05,0.00276759773822609,-3.52804588247985,"10900601"
97.80996,74.2131333333333,9.75355686334519,1.1652444779962e-05,0.00276759773822609,-3.52812208497097,"10781630"
